id;people_count
5165;0
5171;0
6861;2
10691;0
20126;4
21345;10
24537;0
26928;23
26930;42
27123;38
32476;17
32506;57
32507;27
32535;0
35483;18
35530;32
35531;17
35533;39
35534;2
35537;16
35541;4
35788;0
35789;0
35791;0
35803;0
36209;0
39704;35
39958;46
39960;21
42059;14
42066;93
43345;0
43816;0
43817;0
43826;57
43827;15
43828;1
43829;17
51195;4
54431;4
58938;27
58939;0
58948;0
59046;2
59047;8
59048;11
59050;5
59051;7
66501;7
67111;13
71345;1
79331;31
79335;3
79336;31
114038;0
114041;27
